seal,condition,vocalization_i,duration
Mojito,before,34,1.0144698272945305
Chaplin,before,58,1.21634038584397
Mojito,after,35,0.633769929513939
Mojito,before,14,0.9299868623751295
Mojito,after,38,0.8814628347234682
Mojito,after,45,0.7896382084629968
Mojito,after,30,0.9792957494983278
Chaplin,after,78,0.9337645393987603
Chaplin,before,55,1.1614158284937959
Mojito,after,15,0.8545111666407966
Mojito,after,28,0.6817675164543344
Mojito,before,82,0.6396080868527494
Chaplin,before,84,1.0437511187052702
Mojito,after,25,0.9235986603822155
Chaplin,before,8,1.0824951472294317
Mojito,after,26,0.7641414852018547
Chaplin,after,17,0.7032767661096373
Mojito,after,76,0.9977440052772082
Chaplin,after,82,1.1058614597940968
Mojito,before,16,0.7104442417533927
Chaplin,after,14,0.829187174666907
Chaplin,before,40,0.7794270683730411
Chaplin,after,2,0.8017273108727043
Chaplin,after,77,1.0492046418055367
Mojito,before,49,0.833600030248632
Chaplin,before,12,0.7860219419272175
Chaplin,after,4,0.6852704309525817
Chaplin,after,68,1.2587487995469258
Chaplin,before,66,0.8993748921370943
Mojito,after,67,0.9003083542343256
Chaplin,after,69,1.295048138849723
Mojito,before,2,0.8817286247440747
Mojito,after,14,0.6648224991152608
Chaplin,before,29,1.0035577856505593
Mojito,after,17,0.8694504362457333
Chaplin,before,73,0.7972600126080197
Mojito,before,67,0.9001770243929776
Chaplin,before,83,1.0583533575602848
Mojito,after,22,0.7643607888884063
Chaplin,before,30,1.688799232256516
Chaplin,before,99,1.2979768294096712
Mojito,before,45,0.5760619896588502
Chaplin,after,10,0.9639219426232224
Chaplin,before,94,0.7825220607852051
Chaplin,before,95,0.5685244492001877
Chaplin,before,11,0.5438310774156726
Chaplin,after,30,0.7699766485959207
Mojito,before,41,1.0274200009084065
Chaplin,after,56,0.8937446013665908
Mojito,after,0,1.224711575282743
Mojito,before,38,0.7294885422472571
Mojito,after,11,0.7963565467230013
Chaplin,after,20,0.9112693556229302
Chaplin,after,13,0.6716091806212721
Chaplin,after,24,1.1644457138919855
Mojito,before,10,0.7534167323822764
Chaplin,after,42,0.7510284992163281
Chaplin,after,50,0.8472916000102603
Chaplin,before,103,1.1750098824908841
Chaplin,after,66,0.7832450812902563
Mojito,after,56,0.6085586160096288
Chaplin,after,22,0.8610489692224091
Chaplin,after,43,0.9922606972213526
Mojito,before,25,0.8143543192492511
Mojito,before,11,0.6088727521764966
Mojito,after,82,0.7833268787394904
Mojito,before,56,0.7554407055897328
Chaplin,before,25,1.1481161086483613
Mojito,after,36,0.8067370157634537
Chaplin,before,90,0.8816456942893279
Chaplin,after,28,1.0161865021577172
Mojito,after,60,0.8840864297644832
Mojito,before,64,0.8089119156557452
Mojito,after,70,0.8086482188812011
Mojito,after,44,0.771436354588135
Chaplin,after,65,1.3855352919055164
Chaplin,after,96,1.243950434041207
Mojito,before,4,0.975001167814655
Mojito,before,95,0.6809440215102435
Chaplin,after,18,0.8434139694880227
Mojito,after,31,0.9374592931345147
Mojito,before,94,0.6023750781045553
Mojito,before,28,0.7962892211936483
Mojito,before,12,0.7815976886121169
Chaplin,before,18,0.9971262651180783
Mojito,before,61,0.7252900112722473
Chaplin,after,99,1.0175050888083867
Mojito,after,1,0.7837360823393
Chaplin,before,32,1.5115416427553672
Mojito,after,34,0.8613503795877794
Chaplin,after,98,0.8242796936762448
Chaplin,after,44,1.2308601661052776
Mojito,after,59,0.7874898841375907
Mojito,after,41,1.0139722761449501
Chaplin,after,19,0.8697536892362393
Chaplin,after,31,0.8050544196946023
Chaplin,before,91,1.3648957350072497
Mojito,after,73,1.1380154450356725
Mojito,before,55,0.7503291182214968
Chaplin,before,27,0.9445511121674321
Mojito,before,40,0.732149107794246
Chaplin,before,10,0.9354822203187351
Chaplin,before,53,1.485862766420519
Chaplin,after,45,0.6116839540761558
Chaplin,before,81,1.0190563285300605
Mojito,before,43,0.7760741135027097
Chaplin,after,79,0.9769746164797682
Mojito,after,64,0.7849015069098986
Chaplin,after,83,1.8482869621539737
Chaplin,before,87,0.668633859038
Mojito,after,79,0.9426102521604192
Mojito,before,53,0.9098943271396175
Mojito,after,66,0.741057866556995
Chaplin,after,38,0.9403185488907783
Chaplin,after,46,1.0622956078967232
Chaplin,before,89,1.0762909382435606
Chaplin,after,27,0.9060635294723187
Chaplin,before,64,0.9005871661185652
Chaplin,after,25,1.173921640384178
Chaplin,after,39,1.0613299237367875
Chaplin,after,67,0.9743751579508202
Mojito,after,39,0.8319419188894713
Chaplin,before,28,1.4113306252567541
Mojito,after,40,0.8465408286623635
Mojito,before,71,0.9684634002752079
Chaplin,before,9,1.010236255237125
Mojito,after,65,0.7511929741188658
Mojito,before,48,0.8097750257849394
Mojito,before,32,0.8860536837663533
Chaplin,before,88,0.7156473605244711
Chaplin,after,49,1.110179353029516
Mojito,before,6,1.037429010692894
Chaplin,after,88,0.9959333168386693
Chaplin,after,51,0.9609319924889589
Chaplin,after,12,0.9369340163043034
Mojito,before,17,0.8401816627743822
Mojito,before,3,1.0167818655900394
Mojito,before,21,0.7976298056853637
Chaplin,before,43,0.7026057923938477
Mojito,before,89,0.9300105733274294
Chaplin,after,7,0.932049556853179
Chaplin,after,91,1.027754497577399
Mojito,before,83,0.9622030366488382
Mojito,before,58,0.8345158872221626
Mojito,before,37,0.8493468654490298
Mojito,after,8,0.8511548494575637
Chaplin,after,41,0.720694023503904
Mojito,before,7,0.7398750655578469
Mojito,before,59,0.9128550185390985
Chaplin,before,6,0.8529764146871502
Chaplin,after,47,1.27429616497919
Chaplin,before,76,1.3687628570379258
Mojito,before,35,1.0009926335507042
Mojito,before,77,0.8533624230546594
Mojito,before,19,0.7289449294783483
Mojito,after,55,0.868924383458219
Chaplin,after,87,1.1167095913421445
Chaplin,after,8,1.1817440858129706
Chaplin,before,3,1.207947858333212
Mojito,before,65,0.5836925708819222
Mojito,after,52,0.7308068239128904
Mojito,before,44,0.9626738577308086
Chaplin,before,4,0.9702123570445969
Chaplin,after,95,1.0690363190223013
Mojito,after,51,0.7040995622701782
Chaplin,after,81,0.8518708340989527
Chaplin,after,1,1.5204655043095863
Chaplin,before,85,1.1576194062333425
Chaplin,before,60,1.2429724072150408
Chaplin,after,100,0.982369778948616
Mojito,after,50,0.8523974227350936
Chaplin,before,47,0.6317788619467194
Chaplin,before,26,1.005504083853764
Chaplin,before,1,1.2545754137867655
Mojito,before,62,0.6724026951263288
Chaplin,before,23,0.9050787577485614
Mojito,before,29,0.7883149664192711
Chaplin,before,19,1.094958445901846
Chaplin,before,52,0.9454816162767541
Mojito,after,20,0.7605745823900919
Mojito,before,13,0.6323927350280478
Mojito,after,2,0.7168894430747403
Chaplin,after,70,0.7256582013297288
Chaplin,after,11,1.3230786376185366
Chaplin,before,35,0.8797970937313612
Chaplin,after,53,0.5947560679822357
Chaplin,after,58,0.7275059167667991
Chaplin,after,84,0.672152662497525
Mojito,after,71,0.8757131202527008
Chaplin,after,86,0.8369199341007808
Mojito,before,91,0.6295502664443038
Mojito,after,69,0.8944292943494309
Chaplin,after,71,0.9217656931840251
Mojito,after,18,0.7645468305360048
Mojito,before,85,0.736519883279628
Chaplin,after,34,1.0210481793671162
Chaplin,before,75,0.8989748657068908
Chaplin,before,22,0.9627856225801827
Mojito,after,48,0.9797626421099053
Mojito,before,78,0.874660529979412
